,Group,Group2,Family,Genus,Species,Code,size1,size2,size3,size4,size5,size6,size7,life1,life2,cycl1,cycl2,cycl3,aqua1,aqua2,aqua3,aqua4,repr1,repr2,repr3,repr4,repr5,repr6,repr7,repr8,disp1,disp2,disp3,disp4,resi1,resi2,resi3,resi4,resi5,resp1,resp2,resp3,resp4,resp5,loco1,loco2,loco3,loco4,loco5,loco6,loco7,loco8,food1,food2,food3,food4,food5,food6,food7,food8,food9,fhab1,fhab2,fhab3,fhab4,fhab5,fhab6,fhab7,fhab8
1,Trichoptera,TRI,Glossosomatidae,Agapetus,sp.,agapsp.,0,0,3,0,0,0,0,3,0,0,3,1,3,3,3,0,0,0,0,3,0,0,0,0,1,2,1,1,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0
2,Ephemeroptera,EPH,Ameletidae,Ameletus,inopinatus,amelinop,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,0,1,3,0,0,0,0,0,1,3,1,3,2,0,0,0,2,1,2,0,0,0,0,0,5,1,0,0,0,0,1,2,3,2,0,0,0,0,0,0,2,1,3,0,0,0,0
3,Plecoptera,PLE,Nemouridae,Amphinemura,sp.,amphinsp,0,1,3,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,1,0,0,2,2,3,2,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0
4,Trichoptera,TRI,Apataniidae,Apatania,sp.,apatsp.,0,0,3,1,0,0,0,3,1,1,3,0,2,3,3,0,0,0,0,3,0,0,3,0,3,2,0,2,0,0,0,2,1,3,2,0,0,0,0,0,0,5,0,0,1,0,0,1,1,4,1,0,0,1,0,0,1,0,3,0,0,1,0
5,Crustacea,CRU,Asellidae,Asellus,aquaticus,aselaqua,0,0,0,3,0,0,0,3,1,0,1,3,3,3,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,3,0,2,0,0,0,1,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0
6,Trichoptera,TRI,Leptoceridae,Athripsodes,sp.,athrsp.,0,0,2,2,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,2,1,1,3,0,0,0,0,3,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,0,0
7,Ephemeroptera,EPH,Baetidae,Baetis,sp.,baetissp,0,0,3,1,0,0,0,3,0,0,2,3,3,3,0,0,0,0,1,3,0,0,0,0,3,2,1,3,2,0,0,0,2,1,2,0,0,0,0,0,3,4,0,1,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0
8,Pulmonates,PUL,Planorbidae,Bathyomphalus,contortus,bathcont,0,3,2,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0
9,Plecoptera,PLE,Taeniopterygidae,Brachyptera,sp.,brterasp,0,0,1,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,5,1,1,0,0,0,2,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0
10,Odonata,ODO,Calopterygidae,Calopteryx,sp.,calosp.,0,0,0,1,3,1,0,2,2,1,3,0,3,3,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,2,2,1,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0
11,Trichoptera,TRI,Leptoceridae,Ceraclea,sp.,cerasp.,0,0,2,3,0,0,0,3,1,0,3,1,3,3,3,0,0,0,0,3,1,0,0,0,2,1,1,3,0,0,0,2,2,2,3,0,0,0,0,0,0,5,0,0,0,0,0,4,1,1,2,0,0,2,0,0,1,3,1,0,0,1,1
12,Diptera,DIP,Ceratopogonidae,Ceratopogoninae/Palpomyiinae,Gen. sp.,cerpalge,0,0,1,3,0,0,0,3,0,0,2,2,1,2,2,0,0,0,1,3,0,0,0,0,3,1,0,2,1,0,0,0,3,0,3,0,0,0,0,1,3,1,3,0,0,0,0,1,0,2,0,1,4,2,0,0,1,1,0,0,0,3,0
13,Diptera,DIP,Empididae,Chelifera,sp.,chelifsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Diptera,DIP,Empididae,Clinocerinae,Gen. sp.,clingesp,0,0,3,0,0,0,0,3,0,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0
15,Trichoptera,TRI,Lepidostomatidae,Crunoecia,sp.,crunsp.,0,0,3,0,0,0,0,0,3,3,0,0,3,2,3,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0
16,Diptera,DIP,Culicidae,Culicinae,Gen. sp.,cunagen.,0,1,3,0,0,0,0,3,0,0,2,2,1,3,3,0,0,1,0,0,3,0,1,0,0,0,2,3,3,0,0,2,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,2,0,1,0,0,2,0
17,Coleoptera,COL,Dytiscidae,Deronectes,sp.,derosp.1,0,3,1,0,0,0,0,1,3,0,1,3,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0
18,Plecoptera,PLE,Perlodidae,Diura,bicaudata,diurbica,0,0,0,1,2,0,0,1,3,3,2,0,3,3,0,0,0,0,0,1,3,0,0,0,1,2,0,1,3,0,0,2,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0
19,Diptera,DIP,Dixidae,Dixa,sp.,dixasp.,0,0,3,0,0,0,0,3,0,0,3,0,2,3,2,0,0,0,0,3,1,0,1,0,3,1,1,0,0,0,0,2,0,0,0,0,3,0,0,3,1,1,0,0,1,0,0,3,0,4,0,0,1,0,0,0,0,1,0,3,0,1,0
20,Trichoptera,TRI,Limnephilidae,Drusus,sp.,drussp.,0,0,0,3,0,0,0,3,1,1,3,0,3,3,3,0,0,0,0,3,0,0,1,0,3,2,0,2,0,0,0,0,1,3,2,0,0,0,0,0,0,5,0,0,0,0,1,0,1,3,2,0,0,2,0,0,0,2,3,0,0,0,0
21,Trichoptera,TRI,Limnephilidae,Ecclisopteryx,sp.,ecclsp.,0,0,0,3,0,0,0,1,0,0,3,0,3,3,3,0,0,0,0,3,0,0,1,0,0,2,0,2,0,0,0,0,1,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0
22,Ephemeroptera,EPH,Heptageniidae,Ecdyonurus,sp.,ecdyonsp,0,0,0,3,0,0,0,3,1,1,3,0,3,3,0,0,0,2,0,3,0,0,0,0,3,1,1,3,2,0,0,1,2,1,3,0,0,0,0,0,1,5,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,2,3,0,0,0,0
23,Oligochaeta,OLI,Lumbricidae,Eiseniella,tetraedra,eisetetr,0,0,0,0,0,3,0,0,1,0,3,0,2,2,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
24,Coleoptera,COL,Elmidae,Elmis,sp.,elmisp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
25,Coleoptera,COL,Scirtidae,Elodes,sp.,elodsp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,0,3,1,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
26,Ephemeroptera,EPH,Heptageniidae,Epeorus,sp.,epeosp.,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,1,1,3,1,0,0,1,3,1,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0
27,Ephemeroptera,EPH,Ephemeridae,Ephemera,sp.,epmerasp,0,0,0,0,3,0,0,1,3,3,1,0,3,3,0,0,0,0,3,1,0,0,0,0,1,1,1,3,2,0,0,3,0,1,3,0,0,0,0,0,0,1,4,0,0,0,0,3,2,1,0,0,2,0,0,0,1,3,0,3,0,1,0
28,Ephemeroptera,EPH,Ephemerellidae,Ephemerella,sp.,epellasp,0,0,3,0,0,0,0,3,0,0,3,1,3,3,0,0,0,1,3,0,0,1,0,0,2,3,1,3,2,0,0,1,1,1,3,0,0,0,0,0,1,5,0,0,0,0,0,1,3,4,3,0,1,0,0,0,1,2,2,0,0,1,0
29,Diptera,DIP,Ephydridae,Ephydridae,Gen. sp.,ephygen.,0,1,3,3,0,0,0,3,0,0,3,1,1,2,1,0,0,0,1,1,0,2,2,0,0,0,0,1,0,0,0,2,2,0,0,0,3,0,0,0,0,2,3,0,0,0,0,2,1,5,2,1,0,2,0,0,1,1,3,3,1,0,1
30,Coleoptera,COL,Elmidae,Esolus,sp.,esolsp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
31,Crustacea,CRU,Gammaridae,Gammarus,sp.,gammsp.,0,0,0,2,2,0,0,1,3,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,3,0,1,0,0,0,1,5,2,1,2,2,1,0,0,0,3,1,0,0,0,0
32,Trichoptera,TRI,Glossosomatidae,Glossosoma,sp.,glossosp,0,0,3,1,0,0,0,3,0,0,2,1,3,3,3,0,0,0,0,3,0,0,0,0,1,2,1,1,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
33,Pulmonates,PUL,Planorbidae,Gyraulus,sp.,gyrasp.,0,0,3,0,0,0,0,3,1,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,3,0,0,0,0
34,Ephemeroptera,EPH,Leptophlebiidae,Habroleptoides,sp.,habrolsp,0,0,1,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,0,2,1,1,1,0,0,0,0,3,1,3,0,0,0,0,0,0,3,1,0,0,0,1,3,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0
35,Ephemeroptera,EPH,Leptophlebiidae,Habrophlebia,sp.,habropsp,0,0,3,0,0,0,0,3,0,0,3,0,3,3,0,0,0,1,3,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,3,0,0,0,0,0,1,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0
36,Trichoptera,TRI,Limnephilidae,Halesus,sp.,halesp.,0,0,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,1,3,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,1,2,0,0,0,3,0,0,0,0,0
37,Hirudinea,HIR,Glossiphoniidae,Helobdella,stagnalis,helostag,0,0,3,1,0,0,0,3,1,0,3,1,3,3,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0
38,Diptera,DIP,Empididae,Hemerodromiinae,Gen. sp.,hemegen.,0,0,3,0,0,0,0,3,0,0,3,2,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0
39,Ephemeroptera,EPH,Heptageniidae,Heptagenia,sp.,heptsp.,0,0,0,3,0,0,0,3,1,1,3,0,3,3,0,0,0,1,2,0,0,0,0,0,3,1,1,3,1,0,0,2,2,1,3,0,0,0,0,0,1,5,0,0,0,0,1,2,2,3,1,0,0,0,0,0,1,2,3,0,0,0,0
40,Diptera,DIP,Limoniidae,Hexatomini,Gen. sp.,hexagen.,0,0,3,1,0,0,0,1,0,0,3,1,2,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,4,0,0,0,0,1,3,1,0,0,0,5,0,0,0,1,1,0,0,3,0
41,Trichoptera,TRI,Hydropsychidae,Hydraena,sp.,hydrsp.1,0,3,0,0,0,0,0,1,3,0,3,1,3,0,0,3,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,3,0,0,3,2,0,1,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
42,Plecoptera,PLE,Perlodidae,Hydropsyche,sp.,hyychesp,0,0,1,3,1,0,0,3,0,0,2,2,3,3,3,0,0,0,0,3,0,0,0,0,3,2,1,3,0,0,0,0,3,2,3,0,0,0,0,0,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,0,0,3,0,1,0
43,Trichoptera,TRI,Hydroptilidae,Isoperla,sp.,isopsp.,0,0,1,3,0,0,0,1,3,2,3,0,3,3,0,0,0,0,1,2,0,0,0,0,2,2,0,2,2,0,0,1,1,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,1,4,0,0,0,3,1,0,0,1,0
44,Trichoptera,TRI,Lepidostomatidae,Ithytrichia,sp.,ithysp.,0,3,0,0,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,3,2,2,0,0,0,0,0,0,3,0,0,1,0,0,2,0,4,1,0,0,0,0,0,1,1,3,0,0,0,0
45,Trichoptera,TRI,Lepidostomatidae,Lepidostoma,hirtum,lepihirt,0,0,3,1,0,0,0,3,1,0,3,1,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,2,0,0,0,0,3,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0
46,Ephemeroptera,EPH,Leptophlebiidae,Leptophlebia,sp.,leptopsp,0,0,3,1,0,0,0,3,0,0,3,0,3,3,0,0,0,1,3,0,0,0,0,0,2,1,1,3,0,0,0,0,3,1,3,0,0,0,0,0,2,4,0,1,0,0,1,3,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0
